sample_idx,expected_ns,actual_ns,jitter_us,period_us,exec_us,overruns
0,23718742428087,23718742501125,73.038,1000.000,2.254,0
1,23718743428087,23718743502217,74.130,1001.092,0.315,0
2,23718744428087,23718744434946,6.859,932.729,0.274,0
3,23718745428087,23718745435041,6.954,1000.095,0.283,0
4,23718746428087,23718746496593,68.506,1061.552,0.261,0
5,23718747428087,23718747500613,72.526,1004.020,0.280,0
6,23718748428087,23718748498136,70.049,997.523,0.270,0
7,23718749428087,23718749500631,72.544,1002.495,0.274,0
8,23718750428087,23718750499543,71.456,998.912,0.272,0
9,23718751428087,23718751500590,72.503,1001.047,0.275,0
10,23718752428087,23718752499950,71.863,999.360,0.267,0
11,23718753428087,23718753501211,73.124,1001.261,0.273,0
12,23718754428087,23718754434474,6.387,933.263,0.291,0
13,23718755428087,23718755469227,41.140,1034.753,0.275,0
14,23718756428087,23718756466728,38.641,997.501,0.274,0
15,23718757428087,23718757499826,71.739,1033.098,0.274,0
16,23718758428087,23718758498719,70.632,998.893,0.272,0
17,23718759428087,23718759502061,73.974,1003.342,0.272,0
18,23718760428087,23718760503420,75.333,1001.359,0.276,0
19,23718761428087,23718761499669,71.582,996.249,0.270,0
20,23718762428087,23718762498181,70.094,998.512,0.276,0
21,23718763428087,23718763499545,71.458,1001.364,0.275,0
22,23718764428087,23718764487984,59.897,988.439,0.276,0
23,23718765428087,23718765498229,70.142,1010.245,0.273,0
24,23718766428087,23718766500423,72.336,1002.194,0.272,0
25,23718767428087,23718767500319,72.232,999.896,0.277,0
26,23718768428087,23718768435397,7.310,935.078,0.278,0
27,23718769428087,23718769499849,71.762,1064.452,0.271,0
28,23718770428087,23718770500900,72.813,1001.051,0.271,0
29,23718771428087,23718771500142,72.055,999.242,0.276,0
30,23718772428087,23718772498107,70.020,997.965,0.274,0
31,23718773428087,23718773498709,70.622,1000.602,0.275,0
32,23718774428087,23718774434758,6.671,936.049,0.280,0
33,23718775428087,23718775499208,71.121,1064.450,0.273,0
34,23718776428087,23718776498461,70.374,999.253,0.272,0
35,23718777428087,23718777499334,71.247,1000.873,0.275,0
36,23718778428087,23718778498418,70.331,999.084,0.281,0
37,23718779428087,23718779498925,70.838,1000.507,0.273,0
38,23718780428087,23718780498571,70.484,999.646,0.272,0
39,23718781428087,23718781502750,74.663,1004.179,0.296,0
40,23718782428087,23718782498678,70.591,995.928,0.269,0
41,23718783428087,23718783499882,71.795,1001.204,0.274,0
42,23718784428087,23718784434684,6.597,934.802,0.277,0
43,23718785428087,23718785499741,71.654,1065.057,0.275,0
44,23718786428087,23718786497946,69.859,998.205,0.267,0
45,23718787428087,23718787499010,70.923,1001.064,0.275,0
46,23718788428087,23718788498188,70.101,999.178,0.283,0
47,23718789428087,23718789470706,42.619,972.518,0.267,0
48,23718790428087,23718790471736,43.649,1001.030,0.657,0
49,23718791428087,23718791472255,44.168,1000.519,0.655,0
50,23718792428087,23718792471705,43.618,999.450,0.628,0
51,23718793428087,23718793471244,43.157,999.539,0.654,0
52,23718794428087,23718794496028,67.941,1024.784,0.274,0
53,23718795428087,23718795500397,72.310,1004.369,0.271,0
54,23718796428087,23718796498896,70.809,998.499,0.271,0
55,23718797428087,23718797500051,71.964,1001.155,0.270,0
56,23718798428087,23718798500519,72.432,1000.468,0.276,0
57,23718799428087,23718799499818,71.731,999.299,0.278,0
58,23718800428087,23718800499242,71.155,999.424,0.280,0
59,23718801428087,23718801500770,72.683,1001.528,0.272,0
60,23718802428087,23718802499942,71.855,999.172,0.282,0
61,23718803428087,23718803499894,71.807,999.952,0.269,0
62,23718804428087,23718804499273,71.186,999.379,0.276,0
63,23718805428087,23718805500807,72.720,1001.534,0.265,0
64,23718806428087,23718806435776,7.689,934.969,0.267,0
65,23718807428087,23718807432823,4.736,997.047,0.146,0
66,23718808428087,23718808431766,3.679,998.943,0.077,0
67,23718809428087,23718809432033,3.946,1000.267,0.144,0
68,23718810428087,23718810435395,7.308,1003.362,0.302,0
69,23718811428087,23718811462494,34.407,1027.099,0.291,0
70,23718812428087,23718812466178,38.091,1003.684,0.281,0
71,23718813428087,23718813462659,34.572,996.481,0.308,0
72,23718814428087,23718814468436,40.349,1005.777,0.279,0
73,23718815428087,23718815435780,7.693,967.344,0.275,0
74,23718816428087,23718816466122,38.035,1030.342,0.278,0
75,23718817428087,23718817466226,38.139,1000.104,0.281,0
76,23718818428087,23718818461708,33.621,995.482,0.278,0
77,23718819428087,23718819461831,33.744,1000.123,0.274,0
78,23718820428087,23718820460658,32.571,998.827,0.271,0
79,23718821428087,23718821475249,47.162,1014.591,0.279,0
80,23718822428087,23718822461567,33.480,986.318,0.272,0
81,23718823428087,23718823463208,35.121,1001.641,0.276,0
82,23718824428087,23718824504036,75.949,1040.828,0.269,0
83,23718825428087,23718825498563,70.476,994.527,0.277,0
84,23718826428087,23718826499037,70.950,1000.474,0.268,0
85,23718827428087,23718827500327,72.240,1001.290,0.276,0
86,23718828428087,23718828499170,71.083,998.843,0.277,0
87,23718829428087,23718829499830,71.743,1000.660,0.274,0
88,23718830428087,23718830461726,33.639,961.896,0.274,0
89,23718831428087,23718831500762,72.675,1039.036,0.276,0
90,23718832428087,23718832499066,70.979,998.304,0.265,0
91,23718833428087,23718833498586,70.499,999.520,0.275,0
92,23718834428087,23718834434183,6.096,935.597,0.274,0
93,23718835428087,23718835499721,71.634,1065.538,0.273,0
94,23718836428087,23718836498282,70.195,998.561,0.271,0
95,23718837428087,23718837499682,71.595,1001.400,0.268,0
96,23718838428087,23718838498209,70.122,998.527,0.272,0
97,23718839428087,23718839498298,70.211,1000.089,0.273,0
98,23718840428087,23718840499669,71.582,1001.371,0.275,0
99,23718841428087,23718841500511,72.424,1000.842,0.279,0
100,23718842428087,23718842500135,72.048,999.624,0.276,0
101,23718843428087,23718843500344,72.257,1000.209,0.274,0
102,23718844428087,23718844499579,71.492,999.235,0.276,0
103,23718845428087,23718845498451,70.364,998.872,0.268,0
104,23718846428087,23718846498624,70.537,1000.173,0.274,0
105,23718847428087,23718847498728,70.641,1000.104,0.278,0
106,23718848428087,23718848498401,70.314,999.673,0.273,0
107,23718849428087,23718849500141,72.054,1001.740,0.278,0
108,23718850428087,23718850499075,70.988,998.934,0.272,0
109,23718851428087,23718851497995,69.908,998.920,0.277,0
110,23718852428087,23718852498460,70.373,1000.465,0.276,0
111,23718853428087,23718853498253,70.166,999.793,0.273,0
112,23718854428087,23718854498755,70.668,1000.502,0.282,0
113,23718855428087,23718855499693,71.606,1000.938,0.281,0
114,23718856428087,23718856498086,69.999,998.393,0.273,0
115,23718857428087,23718857498146,70.059,1000.060,0.273,0
116,23718858428087,23718858502692,74.605,1004.546,0.274,0
117,23718859428087,23718859499849,71.762,997.157,0.278,0
118,23718860428087,23718860498490,70.403,998.641,0.276,0
119,23718861428087,23718861502752,74.665,1004.262,0.280,0
120,23718862428087,23718862500153,72.066,997.401,0.272,0
121,23718863428087,23718863500565,72.478,1000.412,0.273,0
122,23718864428087,23718864498382,70.295,997.817,0.280,0
123,23718865428087,23718865499669,71.582,1001.287,0.281,0
124,23718866428087,23718866498435,70.348,998.766,0.273,0
125,23718867428087,23718867498784,70.697,1000.349,0.275,0
126,23718868428087,23718868498959,70.872,1000.175,0.336,0
127,23718869428087,23718869498164,70.077,999.205,0.273,0
128,23718870428087,23718870498339,70.252,1000.175,0.283,0
129,23718871428087,23718871500589,72.502,1002.250,0.272,0
130,23718872428087,23718872501994,73.907,1001.405,0.274,0
131,23718873428087,23718873501059,72.972,999.065,0.282,0
132,23718874428087,23718874507256,79.169,1006.197,0.277,0
133,23718875428087,23718875499441,71.354,992.185,0.279,0
134,23718876428087,23718876500131,72.044,1000.690,0.282,0
135,23718877428087,23718877498119,70.032,997.988,0.271,0
136,23718878428087,23718878434689,6.602,936.570,0.282,0
137,23718879428087,23718879500319,72.232,1065.630,0.274,0
138,23718880428087,23718880503273,75.186,1002.954,0.277,0
139,23718881428087,23718881499695,71.608,996.422,0.275,0
140,23718882428087,23718882498792,70.705,999.097,0.272,0
141,23718883428087,23718883498494,70.407,999.702,0.276,0
142,23718884428087,23718884434470,6.383,935.976,0.289,0
143,23718885428087,23718885499845,71.758,1065.375,0.275,0
144,23718886428087,23718886499241,71.154,999.396,0.279,0
145,23718887428087,23718887468200,40.113,968.959,0.281,0
146,23718888428087,23718888501816,73.729,1033.616,0.271,0
147,23718889428087,23718889500004,71.917,998.188,0.273,0
148,23718890428087,23718890500699,72.612,1000.695,0.280,0
149,23718891428087,23718891498586,70.499,997.887,0.271,0
150,23718892428087,23718892498359,70.272,999.773,0.271,0
151,23718893428087,23718893498190,70.103,999.831,0.261,0
152,23718894428087,23718894434468,6.381,936.278,0.278,0
153,23718895428087,23718895499349,71.262,1064.881,0.274,0
154,23718896428087,23718896498432,70.345,999.083,0.284,0
155,23718897428087,23718897499077,70.990,1000.645,0.266,0
156,23718898428087,23718898497888,69.801,998.811,0.289,0
157,23718899428087,23718899499482,71.395,1001.594,0.279,0
158,23718900428087,23718900499673,71.586,1000.191,0.272,0
159,23718901428087,23718901499326,71.239,999.653,0.275,0
160,23718902428087,23718902498240,70.153,998.914,0.274,0
161,23718903428087,23718903500894,72.807,1002.654,0.270,0
