== Sampling period: 500 us
== Test mode: periodic user-mode task
== All results in microseconds
warming up...
RTT|  00:00:01  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.764|     18.649|     55.930|       0|     0|      1.764|     55.930
RTD|      1.765|     18.348|     46.164|       0|     0|      1.764|     55.930
RTD|      1.826|      6.278|     46.192|       0|     0|      1.764|     55.930
RTD|      2.527|      3.962|      4.942|       0|     0|      1.764|     55.930
RTD|      2.550|      3.775|      5.135|       0|     0|      1.764|     55.930
RTD|      1.759|      5.829|     50.957|       0|     0|      1.759|     55.930
RTD|      1.743|     16.498|     54.524|       0|     0|      1.743|     55.930
RTD|      1.747|     15.443|     50.496|       0|     0|      1.743|     55.930
RTD|      1.750|     20.971|     50.797|       0|     0|      1.743|     55.930
RTD|      1.748|     20.618|     51.871|       0|     0|      1.743|     55.930
RTD|      1.751|     16.372|     47.531|       0|     0|      1.743|     55.930
RTD|      1.771|     22.316|     53.673|       0|     0|      1.743|     55.930
RTD|      1.738|     20.245|     47.077|       0|     0|      1.738|     55.930
RTD|      1.754|     17.199|     49.529|       0|     0|      1.738|     55.930
RTD|      1.749|     16.996|     48.691|       0|     0|      1.738|     55.930
RTD|      1.735|     20.727|     53.768|       0|     0|      1.735|     55.930
RTD|      1.742|     17.438|     46.218|       0|     0|      1.735|     55.930
RTD|      1.738|     22.989|     56.594|       0|     0|      1.735|     56.594
RTD|      1.754|     23.963|     60.352|       0|     0|      1.735|     60.352
RTD|      1.758|     25.313|     61.691|       0|     0|      1.735|     61.691
RTD|      1.776|     20.819|     57.714|       0|     0|      1.735|     61.691
RTT|  00:00:22  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.749|     19.355|     44.661|       0|     0|      1.735|     61.691
RTD|      1.767|     23.439|     50.264|       0|     0|      1.735|     61.691
RTD|      1.740|     19.463|     49.604|       0|     0|      1.735|     61.691
RTD|      1.750|     16.502|     52.575|       0|     0|      1.735|     61.691
RTD|      1.751|     18.540|     48.125|       0|     0|      1.735|     61.691
RTD|      1.779|     17.252|     45.677|       0|     0|      1.735|     61.691
RTD|      1.758|     16.881|     46.673|       0|     0|      1.735|     61.691
RTD|      1.775|     21.111|     49.189|       0|     0|      1.735|     61.691
RTD|      2.072|     24.332|     47.027|       0|     0|      1.735|     61.691
RTD|      1.767|     17.987|     47.403|       0|     0|      1.735|     61.691
RTD|      1.749|     17.777|     58.087|       0|     0|      1.735|     61.691
